large	{'expression': 2}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
myo10	{'produces': 1, 'localizes': 8, 'lack': 1, 'facilitates': 1, 'activating': 1, 'detected': 2, 'production': 2, 'associations': 2, 'lacking': 2, 'activation': 2, 'express': 1, 'knock-down': 2, 'inhibition': 1, 'phosphorylation': 3, 'release': 1, 'regulated': 2, 'accumulation': 1, 'enhances': 1, 'domain': 6, 'attenuated': 1, 'direct': 1, 'recruitment': 4, 'enhanced': 2, 'cargo': 1, 'interacting': 3, 'interactions': 2, 'expressed': 10, 'depletion': 2, 'expressing': 1, 'expresses': 3, 'induced': 2, 'induction': 3, 'movement': 1, 'dimerization': 2, 'localization': 2, 'regulators': 1, 'formation': 1, 'imaging': 1, 'suppressed': 1, 'linkage': 2, 'interaction': 8, 'reexpression': 2, 'coexpressed': 1, 'domains': 9, 'changes': 4, 'stabilization': 1, 'downregulated': 1, 'bound': 2, 'utilized': 2, 'inhibits': 3, 'bindings': 2, 'select': 2, 'targeting': 2, 'synthesized': 2, 'introduction': 1, 'interact': 15, 'negative': 2, 'polymerization': 1, 'regulation': 11, 'recruited': 1, 'colocalized': 1, 'tyrosine': 2, 'suppress': 2, 'knockdown': 6, 'inhibit': 2, 'require': 3, 'abolishes': 1, 'regulator': 2, 'binds': 5, 'control': 1, 'deciphering': 1, 'associated': 6, 'recognize': 4, 'binding': 34, 'associates': 1, 'depleted': 1, 'moves': 4, 'interacts': 4, 'upregulation': 3, 'overexpressing': 4, 'upregulated': 3, 'transcription': 1, 'stimulated': 2, 'complex': 9, 'role': 2, 'deletion': 1, 'translocation': 1, 'nuclease': 1, 'transported': 1, 'upregulating': 1, 'suppression': 2, 'reorganization': 3, 'overexpression': 1, 'bind': 47, 'required': 2, 'inhibited': 2, 'expression': 23, 'requires': 2, 'silencing': 1}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
tle1	{'modulating': 1, 'regulates': 1, 'presence': 2, 'downregulated': 3, 'alterations': 3, 'decrease': 1, 'dna-binding': 4, 'upregulated': 15, 'harbored': 1, 'stimulates': 1, 'inhibitors': 3, 'depletion': 3, 'detected': 3, 'secretion': 1, 'decreased': 2, 'induced': 4, 'synthesis': 1, 'dysregulation': 2, 'increased': 1, 'secreted': 1, 'activation': 1, 'degradation': 1, 'inhibition': 3, 'producing': 1, 'loss': 2, 'inhibit': 2, 'interaction': 1, 'phosphorylated': 1, 'phosphorylation': 1, 'expression': 5, 'accumulation': 4}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
mvp	{'detection': 1, 'deficiency': 2, 'involvement': 1, 'expressions': 6, 'regulate': 2, 'transcription': 2, 'up-regulated': 7, 'downregulation': 1, 'increased': 3, 'inhibition': 2, 'up-regulation': 1, 'association': 1, 'correlated': 1, 'produced': 2, 'interaction': 1, 'overexpression': 3, 'covering': 1, 'deficient': 2, 'firing': 1, 'phosphorylated': 2, 'recognized': 1, 'inhibited': 1, 'expression': 45}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
ran	{'loss': 1, 'regulates': 1, 'destabilizes': 1, 'increased': 1, 'regulated': 4, 'phosphorylation': 2, 'transports': 2, 'cross-linking': 1, 'resistance': 1, 'links': 1, 'decreases': 1, 'effect': 1, 'regulator': 1, 'inhibition': 1, 'decrease': 1, 'expression': 3, 'import': 2, 'decreased': 1, 'trafficking': 2, 'interacts': 3, 'synthesis': 2}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
trio	{'regulates': 4, 'associated': 2, 'localizes': 2, 'activated': 2, 'regulated': 1, 'expressed': 2, 'activates': 6, 'interacts': 3, 'targets': 1, 'inactivation': 1, 'interact': 2, 'elevated': 2, 'depletion': 1, 'regulation': 1, 'induced': 1, 'controlled': 1, 'localization': 1, 'counteracts': 1, 'binding': 1, 'activation': 8, 'aggregation': 1, 'unc-73/trio': 3, 'inhibition': 1, 'controlling': 6, 'aggregate': 2, 'using': 1, 'association': 1, 'interaction': 2, 'over-expressed': 2, 'transmission': 2, 'bind': 1, 'reduces': 1, 'phosphorylated': 2, 'binds': 1, 'inhibitor': 1, 'expression': 3, 'accumulation': 3}	
