# articles,EIF2B2/EIF2B1,TAL1/NCAPG2,CRELD1/EEF1G,ERBB2/SUPT6H,NEDD4/GRIN2A,TRIP11/PSMC5,TSC22D4/PSMA1,PAXIP1/SPATA18,BDKRB2/GRK5,HSPH1/CSNK2A2,LENG1/PNMA1,MAPKAPK2/EEF2K,ATN1/FBLN2,SVIL/MKL2,ANXA2/TP53,TALDO1/TERF1,FAF1/IKBKB,ATXN1L/ALG13,VAMP3/IKBKG,CCND1/ESR1,CXCL6/CXCR1,CLU/SYVN1,CRYBB2/CRYBA1,NUAK1/LATS1,MPHOSPH6/EIF3G,EZH2/E2F6,PLEKHA5/SH3BP5L,EDAR/TRAF3,PIK3R3/AMBP,APP/YWHAG,TSHR/CANX,PAFAH1B1/MAP1B,RTDR1/AP2M1,HIST1H3A/TAF1B,RNF111/UBE2D1,IGF1R/PIK3R3,HIST3H3/JAK2,TRAF2/TBK1,ZRANB2/EP300,ABCC5/SERPINA3,TARDBP/XRN2,POLR1D/GRB2,TBC1D7/TSC2,RASSF7/SNAP29,DNAJB6/POLR1D,UXT/RCAN1,UBE2E1/FBXO2,PCMTD2/ATP13A2,RSRC1/SRPK2,RARA/PRAME,
5,87.7429521476,65.6782589959,90,90,84.6484215012,88.3309309775,67.307675858,72.71931061,81.9721857044,90,82.7449089006,87.6740152132,90,90,90,90,90,83.1771971917,90,90,90,90,90,90,90,90,90,47.1996698237,90,90,0,90,90,90,90,86.8181371352,78.9974378633,90,88.5553930731,90,90,90,81.5857371888,90,90,55.6025422429,90,89.3956856451,90,90,84.2030092014
10,72.9088783748,71.8557014046,83.5560623073,76.3983850605,74.2390414781,74.3651458538,67.2887316607,80.5192043589,78.6567088897,87.9987043137,83.7501705196,67.7420475176,90,90,84.4791385595,90,90,83.2248840815,90,90,90,90,88.7849143659,90,90,90,90,52.836671163,90,90,52.7421363739,84.9468884803,90,90,90,85.4166988505,83.3653759394,90,71.4462485929,86.4614192205,79.9698820756,90,87.5625047727,78.4887390732,74.8637232925,65.2066202657,82.0468514871,87.5082195132,89.0345934635,85.5007087275,82.6633000008
15,71.6531733904,62.352689489,80.1091821662,71.906390619,68.7571518443,81.0504838307,49.1873469407,69.9503270433,79.3325420313,87.0818578943,65.931629774,66.5355973945,90,85.827868456,83.932323392,90,90,81.3759007403,86.5127956245,90,90,85.1101231105,88.7913941065,79.8022646083,90,89.5376651816,90,53.2100137322,90,90,43.5502921154,79.3709273167,44.5040002234,90,60.2694923289,84.5773136947,82.4794887712,88.3366244462,67.3544252755,83.1260115001,78.7932632121,90,77.7700610483,79.8122854371,75.5831714795,61.3385328532,77.0684656468,87.653897013,82.7994219418,85.4748758449,78.3562254304
20,57.2732952313,72.7855281018,80.5075824409,41.5053454528,69.0807367443,81.054154124,49.5935783371,71.9899547685,78.5939611742,86.2804295473,60.0135824226,63.408011882,89.2304371428,85.0595530241,74.8155314638,82.8941808012,85.2342376291,82.9511391039,87.7678184509,90,89.7084930239,85.4943935071,88.9476893743,80.924288391,90,89.6005444216,90,44.7269738712,87.1563208187,83.976058463,66.5613410545,76.3200928899,44.5040002234,90,78.8634656162,81.4429696605,80.3328260903,87.575063686,70.8557994213,77.3360101543,80.5157934255,78.702574766,79.7237007843,79.802331816,75.1750035369,63.8649838792,72.789521395,87.9895693825,78.9595367113,85.686637325,77.1515008306
25,59.1643266044,77.3648390596,78.8932472905,35.2057043938,65.1467400311,80.7068857305,51.5525326175,71.3288966701,71.5387701778,89.6071867469,84.2026939221,62.4813062833,88.7880289376,81.0941213612,77.6455689623,85.3501822381,86.2897786819,83.4294279718,82.2083327532,90,89.7465264506,88.7367002552,86.33126989,74.9030690548,90,88.9762409683,90,47.2234504488,86.6344055588,81.7793970147,66.5613410545,71.9401859084,44.5040002234,90,78.7966695519,82.4705280787,79.7573713386,86.5062908244,70.4531925817,76.7864251767,77.4124249935,78.3075302295,79.7237007843,82.2970150174,76.7569416939,61.837216815,72.1891069372,88.1905080755,79.4715702325,85.8712054984,77.1232571018
30,56.3412949689,76.1681193336,74.4434673599,35.8651226301,59.4800369907,80.8385143862,52.8223837689,69.577688732,72.8597687109,89.2847070204,83.1146006938,62.5374733702,88.7919912174,83.9774529005,66.8244248209,84.2699092956,81.1219861468,83.1686551085,82.8583655371,90,82.5593193583,88.7792958081,80.6780940977,68.4565463981,90,87.9096269359,90,57.6936381557,87.0968628996,79.1047227766,66.5613410545,72.3587832128,44.5040002234,89.5732173902,79.7514932852,66.9355648806,76.6431427381,71.9863495731,65.8310770805,76.4379726363,72.9651051936,78.9013911456,69.8464540399,80.921558277,77.6535719646,62.4586782701,63.2706820382,88.3382268806,81.3969947377,86.1870591787,75.1829346645
35,54.3617107283,78.9271541715,71.6323546788,53.2129146063,55.492160084,80.9146231789,54.3855286058,67.1684833471,69.5387723497,89.3550623049,81.1804396895,63.7682073266,84.4153848328,80.253281596,61.2432982293,82.0084872828,67.3348125393,81.5060361466,82.0593666503,82.9762554815,82.5942878176,85.8548434766,79.9806200714,68.039010909,90,89.0131690255,90,63.0720680961,82.7615639673,82.2917258919,67.4514061999,69.3203506959,56.4023051986,89.7115100483,80.5892687998,65.3942951424,72.8870882317,66.3583985141,65.6178905301,78.4580288377,70.6186688229,77.6306899275,68.1576420058,76.0936193381,71.2177376464,61.6718458908,60.1962735213,88.3411763364,81.7145989902,84.4564163885,74.152616683
40,51.1471654341,76.8147730709,67.312084761,57.3799406059,51.6171362622,81.3345775048,51.129941502,66.1779659396,64.3999459784,89.3611395902,81.2757272731,63.361959935,82.0611352489,77.9648234113,56.1135762313,73.2128145574,67.3348125393,81.4816716302,79.1963808119,83.0216684743,82.0657428207,84.2047935923,80.6584009738,69.197276729,90,89.2364264379,90,61.5502912703,81.3992775151,80.166604021,67.4514061999,72.2925791282,51.8086990227,89.4851979433,82.1917372377,61.6810382897,72.0543768077,68.6034043454,64.6967800171,76.6011594556,73.9787254797,78.6349733195,67.3879818048,75.5398973472,72.8006364249,61.0484199032,56.4220262942,86.948800713,81.7145989902,84.5177930917,73.1207657188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
50,46.5400250793,75.5382348773,56.840668327,63.9911497305,47.8890643854,82.2163346505,48.1229062248,63.6146303047,63.3676414986,88.7669537619,78.8863304198,45.9659094784,82.9274472338,78.8486403438,46.8017190881,66.6562546892,69.200852768,81.9250158443,78.2495647347,83.4069839402,82.2491748036,84.4358132395,79.6662271693,61.3290272249,87.5826568981,87.7809468619,90,58.6679157873,83.1073402047,82.0518435049,67.4514061999,70.1037793956,51.8086990227,89.6053630991,81.0014609116,69.7615935651,70.9181658415,76.3192441695,65.8997462631,67.2724795506,73.2565801735,82.1718522833,68.57169644,73.484151291,77.0055964939,63.0458739634,56.2791546139,87.4994964926,80.9842662792,84.2733096329,72.0668237751
